Start Time (s),End Time (s),AVG Peak,STD Peak,AVG Trough,STD Trough,FMA,Total Power,Label bin, Label
269.0796783,279.0796783,1.962214922,0.772450338,-2.222530556,0.522510817,1.203593626,2030883965,0,
270.0796783,280.0796783,2.205291946,0.582659494,-1.883734578,0.707019618,1.298702054,2116794556,0,
271.0796783,281.0796783,2.309386383,0.630693607,-2.59525898,0.461776943,1.203530299,2081260032,0,
272.0796783,282.0796783,2.60131173,0.428849919,-2.48525036,0.651920913,1.298722766,2129318048,0,
273.0796783,283.0796783,2.357652416,0.642998971,-2.283443263,0.474963377,1.199893925,2188585440,0,
274.0796783,284.0796783,2.157278583,0.638620247,-1.924571663,0.534653538,1.198815279,2221081712,0,
275.0796783,285.0796783,2.125662274,0.636893324,-2.363130961,0.644686954,1.198763156,2187082190,0,
276.0796783,286.0796783,2.413795874,0.468945317,-2.471040266,0.472131359,1.198810169,2106938208,0,
277.0796783,287.0796783,2.459428879,0.587764633,-2.291025033,0.558037392,1.198815448,2152002252,0,
278.0796783,288.0796783,2.148691718,0.736817307,-2.193513991,0.708231331,1.198696057,2268672930,0,
279.0796783,289.0796783,2.461681101,0.596130931,-2.451060867,0.563157278,1.198725055,2209319100,0,
280.0796783,290.0796783,2.266751171,0.63719092,-2.094436123,0.570284707,1.298685563,2270275952,0,
281.0796783,291.0796783,2.263745725,0.572035882,-2.108577732,0.602575028,1.298770562,2339059856,0,
282.0796783,292.0796783,1.984255352,0.630027271,-2.202444308,0.56408752,1.298683049,2322657086,0,
283.0796783,293.0796783,1.898392202,0.609940469,-2.177092849,0.535665294,1.298813242,2392431036,0,
284.0796783,294.0796783,2.355387499,0.545438,-2.341247234,0.595565614,1.398612663,2350359268,0,
285.0796783,295.0796783,2.144460691,0.685065596,-2.195774349,0.591365087,1.398604709,2325641022,0,
286.0796783,296.0796783,2.188178891,0.550580466,-2.150780766,0.641870742,1.39857612,2428827296,0,
287.0796783,297.0796783,2.340432181,0.56828126,-2.188253872,0.702299556,1.398686695,2395918280,0,
288.0796783,298.0796783,2.108399766,0.534119832,-2.372990324,0.610609112,1.398477022,2190603626,0,
289.0796783,299.0796783,2.211783897,0.60942238,-2.155641476,0.570080828,1.398485087,2139551560,0,
290.0796783,300.0796783,2.226502026,0.621650287,-2.343336203,0.649948051,1.39848569,2013983400,0,
291.0796783,301.0796783,2.203795862,0.577219556,-1.93785041,0.439186472,1.398677449,1847053508,0,
292.0796783,302.0796783,2.206078456,0.578896782,-2.166641864,0.603986239,1.398662774,1794721966,0,
293.0796783,303.0796783,2.231241052,0.539786297,-2.266611645,0.56079494,1.397178765,1698901330,0,
294.0796783,304.0796783,2.380645599,0.421474106,-2.076255355,0.574896902,1.398661919,1643022170,0,
295.0796783,305.0796783,2.398375093,0.556050394,-2.627494198,0.336803612,1.398594469,1608541530,0,
296.0796783,306.0796783,1.985962185,0.619678485,-2.261727922,0.635785427,1.298689992,1598532010,0,
297.0796783,307.0796783,2.164165257,0.587784641,-2.13680426,0.669459685,1.30399853,1595964494,0,
298.0796783,308.0796783,2.298058323,0.619808608,-2.338412961,0.719730171,1.303982508,1619434457,0,
299.0796783,309.0796783,2.426269353,0.546405905,-2.087849088,0.658084761,1.298773077,1686773020,0,
300.0796783,310.0796783,2.211777392,0.602232759,-2.43780406,0.541924346,1.404230306,1653927129,0,
301.0796783,311.0796783,2.252127603,0.541807518,-2.132270964,0.648360174,1.398631476,1741908570,0,
302.0796783,312.0796783,2.047220927,0.635008205,-2.059203151,0.548133163,1.402783974,1718584526,0,
303.0796783,313.0796783,2.238414323,0.620243429,-2.185239229,0.6457259,1.503104861,1697166194,0,
304.0796783,314.0796783,2.236235282,0.652649268,-2.26413545,0.635732892,1.504504198,1683429449,0,
305.0796783,315.0796783,1.969351679,0.497009919,-1.954047597,0.565743752,1.504600217,1713577304,0,
306.0796783,316.0796783,2.391894182,0.566028443,-2.516952684,0.607290689,1.504536895,1646476145,0,
307.0796783,317.0796783,2.322388429,0.652424898,-2.203638534,0.591639775,1.498549837,1663302350,0,
308.0796783,318.0796783,2.15181944,0.63074785,-2.181349702,0.640259929,1.498618863,1612750634,0,
309.0796783,319.0796783,2.261523936,0.548543588,-2.2883835,0.649691361,1.404197074,1511746478,0,
310.0796783,320.0796783,2.179971389,0.560483109,-2.289050845,0.607693719,1.398696586,1580372490,0,
311.0796783,321.0796783,2.139081453,0.532350147,-2.452361422,0.594116698,1.404148389,1469780408,0,
312.0796783,322.0796783,2.414706232,0.535648307,-2.316257596,0.535828686,1.399981601,1492761370,0,
313.0796783,323.0796783,2.298410236,0.606152455,-2.267605472,0.641765231,1.49853891,1440032270,0,
314.0796783,324.0796783,2.136725546,0.705285894,-1.923086734,0.462762752,1.498444642,1571034454,0,
315.0796783,325.0796783,2.313163408,0.508702198,-2.300521375,0.605855571,1.498440118,1559245958,0,
316.0796783,326.0796783,2.003918906,0.575096389,-1.906178461,0.56486962,1.498457431,1651991658,0,
317.0796783,327.0796783,2.32285572,0.613829238,-2.463335415,0.504755346,1.398573315,1731422780,0,
318.0796783,328.0796783,2.19619996,0.484084379,-2.151657515,0.676926539,1.398692377,1758999950,0,
319.0796783,329.0796783,2.177383083,0.628354658,-2.529839074,0.435783832,1.398679848,1835743470,0,
320.0796783,330.0796783,2.428221484,0.549177858,-2.198934664,0.472638133,1.298748677,1830887546,0,
321.0796783,331.0796783,2.222188548,0.679521146,-2.018386188,0.57578504,1.198759921,1915837700,0,
322.0796783,332.0796783,2.203150068,0.639767891,-2.305999474,0.70930483,1.297506131,1858962200,0,
323.0796783,333.0796783,2.291719425,0.583741457,-2.440419771,0.634810829,1.298674413,1868753750,0,
324.0796783,334.0796783,2.186922623,0.649073126,-2.282898546,0.610043393,1.198749088,1707940650,0,
325.0796783,335.0796783,2.2220604,0.471043738,-2.198078595,0.622799604,1.198911927,1697379622,0,
326.0796783,336.0796783,2.357864444,0.540990722,-2.519865295,0.546063336,1.298662573,1640027338,0,
327.0796783,337.0796783,2.247943682,0.53104469,-1.990930347,0.633005286,1.298687608,1601063970,0,
328.0796783,338.0796783,2.255742584,0.6609457,-2.243401257,0.617035202,1.19888577,1610648910,0,
329.0796783,339.0796783,2.21624934,0.499113418,-2.172313632,0.640173314,1.398574213,1565047750,0,
330.0796783,340.0796783,1.911936403,0.695024321,-2.068364635,0.633809488,1.398589194,1468051550,0,
331.0796783,341.0796783,2.201044492,0.526421444,-2.1467114,0.591615096,1.398594118,1486187148,0,
332.0796783,342.0796783,2.231073362,0.690379723,-2.274849278,0.628611157,1.404087138,1525097132,0,
333.0796783,343.0796783,2.191569972,0.491537781,-2.257046855,0.541547783,1.404187487,1521973874,0,
334.0796783,344.0796783,2.343997192,0.582862552,-2.065459287,0.584094193,1.404215274,1552588011,0,
335.0796783,345.0796783,2.176515628,0.645044125,-2.309447216,0.553271855,1.398599827,1584793496,0,
336.0796783,346.0796783,2.167292137,0.694073673,-2.099559743,0.664070296,1.398627127,1626816328,0,
337.0796783,347.0796783,2.242194651,0.592121444,-2.231501768,0.558305846,1.398639402,1652693870,0,
338.0796783,348.0796783,2.279548459,0.596125004,-2.098217694,0.60434089,1.404196296,1670828378,0,
339.0796783,349.0796783,2.072467551,0.599851581,-2.171556867,0.610682811,1.40418398,1690066298,0,
340.0796783,350.0796783,2.218042593,0.693415102,-2.202270944,0.541239237,1.404171862,1665390980,0,
