Start Time (s),End Time (s),BPM,AVG Interval (s),STD Interval (s),Amplitude,Time V2P (s),Label,Label bin
135.63,195.63,87,0.69372093,0.042180303,511.6436782,0.584651163,1,0
136.63,196.63,86,0.693647059,0.042863588,511.6341887,0.585116279,1,0
137.63,197.63,86,0.694588235,0.044286579,511.5116279,0.585647059,1,0
138.63,198.63,87,0.695348837,0.044374141,511.8567228,0.586744186,1,0
139.63,199.63,86,0.695764706,0.045097971,513.2674419,0.587294118,1,0
140.63,200.63,86,0.696705882,0.04640964,513.6395349,0.588,1,0
141.63,201.63,85,0.697619048,0.047948858,515.0166895,0.589176471,1,0
142.63,202.63,86,0.699529412,0.049083503,515.1162791,0.590588235,1,0
143.63,203.63,85,0.700714286,0.049323657,516.2413133,0.591294118,1,0
144.63,204.63,85,0.702142857,0.049858644,516.3882353,0.592857143,1,0
145.63,205.63,85,0.703095238,0.049904103,516.8950752,0.593647059,1,0
146.63,206.63,86,0.701647059,0.05244262,514.7325581,0.589302326,1,0
147.63,207.63,85,0.70452381,0.049603302,519.7878249,0.595294118,1,0
148.63,208.63,85,0.704761905,0.049532966,520.3294118,0.59547619,1,0
149.63,209.63,85,0.705,0.049557566,520.7294118,0.595714286,1,0
150.63,210.63,85,0.706666667,0.049984124,519.6,0.596904762,1,0
151.63,211.63,85,0.707619048,0.049847841,519.1882353,0.598095238,1,0
152.63,212.63,85,0.709047619,0.049222987,518.0172269,0.599285714,1,0
153.63,213.63,85,0.709761905,0.048940591,517.1411765,0.599761905,1,0
154.63,214.63,84,0.711807229,0.048099911,515.6785714,0.601686747,1,0
155.63,215.63,84,0.715180723,0.04652662,515.047619,0.603809524,1,0
156.63,216.63,84,0.716626506,0.044755752,514.1785714,0.60626506,1,0
157.63,217.63,83,0.719512195,0.041786403,514.2125645,0.605542169,1,0
158.63,218.63,83,0.72097561,0.043606046,519.0,0.609638554,1,0
159.63,219.63,83,0.727317073,0.045533391,524.0359976,0.617073171,1,0
160.63,220.63,83,0.729268293,0.04769774,526.253012,0.618780488,1,0
161.63,221.63,82,0.730864198,0.047666473,529.0609756,0.620246914,1,0
162.63,222.63,82,0.730864198,0.047666473,529.902439,0.62,1,0
163.63,223.63,82,0.72962963,0.046413186,528.022921,0.619512195,1,0
164.63,224.63,82,0.729382716,0.046410559,526.2560976,0.618518519,1,0
165.63,225.63,83,0.728780488,0.046338896,524.5486336,0.617804878,1,0
166.63,226.63,82,0.729382716,0.046410559,523.695122,0.617804878,1,0
167.63,227.63,82,0.729876543,0.046307982,521.6707317,0.618271605,1,0
168.63,228.63,82,0.732345679,0.045277515,522.6707317,0.619512195,1,0
169.63,229.63,82,0.732592593,0.045045321,522.7682927,0.620493827,1,0
170.63,230.63,81,0.734,0.045210618,524.1874435,0.621234568,1,0
171.63,231.63,82,0.735308642,0.044806482,522.5,0.619756098,1,0
172.63,232.63,82,0.738271605,0.045887412,528.5,0.626419753,1,0
173.63,233.63,81,0.73975,0.045879598,530.2469136,0.62825,1,0
174.63,234.63,81,0.74075,0.044547026,531.0617284,0.6295,1,0
175.63,235.63,81,0.7425,0.043402189,533.3950617,0.63125,1,0
176.63,236.63,81,0.74325,0.042830334,533.617284,0.632,1,0
177.63,237.63,80,0.744050633,0.042739096,531.1660494,0.62975,1,0
178.63,238.63,81,0.7425,0.04293891,532.0493827,0.63225,1,0
179.63,239.63,81,0.742,0.042965102,531.1851852,0.6315,1,0
180.63,240.63,81,0.742,0.042848571,526.9259259,0.627654321,1,0
181.63,241.63,81,0.7425,0.042822307,528.9382716,0.63125,1,0
182.63,242.63,80,0.74278481,0.043017121,527.9844136,0.63125,1,0
183.63,243.63,81,0.742,0.043081318,524.3763927,0.628148148,1,0
184.63,244.63,81,0.7425,0.042822307,526.5308642,0.63175,1,0
185.63,245.63,81,0.74175,0.043496408,526.0271605,0.63125,1,0
186.63,246.63,81,0.74075,0.044882485,523.0123457,0.63,1,0
187.63,247.63,82,0.739753086,0.045050734,520.6683228,0.628888889,1,0
188.63,248.63,81,0.7395,0.045274165,514.2634749,0.625679012,1,0
189.63,249.63,81,0.73925,0.045545993,515.691358,0.62825,1,0
190.63,250.63,81,0.741,0.04414748,513.5802469,0.63,1,0
191.63,251.63,81,0.74175,0.043953811,513.5555556,0.63075,1,0
192.63,252.63,80,0.743037975,0.043642809,513.0473765,0.631,1,0
193.63,253.63,81,0.7435,0.043563173,513.2962963,0.632,1,0
194.63,254.63,81,0.7435,0.043563173,513.7654321,0.632,1,0
195.63,255.63,80,0.74278481,0.043717641,510.9594136,0.629,1,0
196.63,256.63,81,0.742,0.043081318,514.7530864,0.63075,1,0
197.63,257.63,81,0.74175,0.043150174,514.2962963,0.6305,1,0
198.63,258.63,81,0.74075,0.043639861,509.7407407,0.62691358,1,0
199.63,259.63,81,0.7395,0.043356084,511.5555556,0.62825,1,0
200.63,260.63,81,0.7385,0.042868986,510.6666667,0.62725,1,0
201.63,261.63,82,0.737777778,0.042163702,509.6829268,0.626419753,1,0
202.63,262.63,81,0.73775,0.04242567,506.5048178,0.623703704,1,0
203.63,263.63,82,0.73654321,0.042372845,508.6894008,0.624938272,1,0
204.63,264.63,82,0.736296296,0.042410238,508.4512195,0.624938272,2,0
205.63,265.63,81,0.73625,0.043138585,505.7223728,0.621975309,2,0
206.63,266.63,82,0.736296296,0.042988498,508.7804878,0.624938272,2,0
207.63,267.63,81,0.737,0.042906876,505.6154773,0.622469136,2,0
208.63,268.63,82,0.736790123,0.042682496,507.9641674,0.624691358,2,0
209.63,269.63,82,0.737037037,0.042642483,508.5121951,0.624691358,2,0
210.63,270.63,81,0.737,0.042906876,509.5308642,0.6245,2,0
211.63,271.63,82,0.737777778,0.042280661,509.8587775,0.625185185,2,0
212.63,272.63,81,0.738,0.042497059,511.0368865,0.625432099,2,0
213.63,273.63,81,0.738,0.042497059,512.0987654,0.626,2,0
214.63,274.63,81,0.738,0.042497059,513.5679012,0.626,2,0
215.63,275.63,81,0.73875,0.042584475,515.2681421,0.626666667,2,0
216.63,276.63,81,0.7385,0.042635079,516.2716049,0.62625,2,0
217.63,277.63,82,0.737283951,0.042017408,516.8763927,0.625432099,2,0
218.63,278.63,82,0.735802469,0.03896387,518.0487805,0.624197531,2,0
219.63,279.63,81,0.733,0.03318132,516.9912677,0.622962963,2,0
220.63,280.63,82,0.732345679,0.032594463,512.2682927,0.618536585,2,0
221.63,281.63,82,0.732098765,0.032459511,515.597561,0.620740741,2,0
222.63,282.63,82,0.731851852,0.03232211,514.6219512,0.620493827,2,0
223.63,283.63,82,0.731358025,0.032801426,510.7995886,0.617317073,2,0
224.63,284.63,82,0.731111111,0.033110365,512.3902439,0.62,2,0
225.63,285.63,82,0.730123457,0.034300553,511.0605348,0.618780488,2,0
226.63,286.63,82,0.729135802,0.035143358,509.2682927,0.618271605,2,0
227.63,287.63,83,0.727560976,0.036377458,508.8316192,0.616585366,2,0
228.63,288.63,82,0.730123457,0.0363961,508.6481046,0.61902439,2,0
229.63,289.63,82,0.730617284,0.037328891,509.4390244,0.62,2,0
230.63,290.63,82,0.73037037,0.037066655,509.0121951,0.619506173,2,0
231.63,291.63,83,0.730487805,0.036455868,509.3961211,0.619268293,2,0
232.63,292.63,82,0.72962963,0.035709543,508.597561,0.618024691,2,0
233.63,293.63,82,0.730123457,0.035849267,508.5365854,0.618271605,2,0
234.63,294.63,83,0.728780488,0.036034883,509.8915663,0.616829268,2,0
235.63,295.63,82,0.727407407,0.037508115,507.9268293,0.615555556,2,0
236.63,296.63,83,0.725853659,0.038570532,505.9759036,0.613902439,2,0
237.63,297.63,83,0.725365854,0.038893072,504.6144578,0.613414634,2,0
238.63,298.63,83,0.724390244,0.041792098,500.4819277,0.608915663,2,0
239.63,299.63,83,0.726341463,0.038619854,502.1325301,0.613414634,2,0
240.63,300.63,82,0.725925926,0.038674896,501.257273,0.613414634,2,0
241.63,301.63,82,0.72691358,0.039523145,501.6219512,0.614074074,2,0
242.63,302.63,83,0.72902439,0.04086294,502.0361446,0.615853659,2,0
243.63,303.63,82,0.729135802,0.041102027,498.4478401,0.613170732,2,0
244.63,304.63,82,0.72962963,0.040989142,502.0731707,0.616296296,2,0
245.63,305.63,82,0.731111111,0.039876352,502.2881281,0.616829268,2,0
246.63,306.63,82,0.731111111,0.039876352,504.7682927,0.618024691,2,0
247.63,307.63,82,0.731851852,0.039600197,507.0121951,0.618536585,2,0
248.63,308.63,82,0.732592593,0.039182315,509.0853659,0.619753086,2,0
249.63,309.63,82,0.732839506,0.039291081,510.9390244,0.620246914,2,0
250.63,310.63,81,0.73375,0.041181762,514.0,0.62075,2,0
251.63,311.63,82,0.735308642,0.043915925,515.7196628,0.622222222,2,0
252.63,312.63,82,0.737037037,0.046306666,517.5,0.623950617,2,0
253.63,313.63,81,0.738,0.047074409,515.4549834,0.622469136,2,0
254.63,314.63,81,0.73975,0.048938099,519.7037037,0.62675,2,0
255.63,315.63,81,0.741,0.050685304,520.7654321,0.62775,2,0
256.63,316.63,81,0.7425,0.051026954,517.7530864,0.625925926,2,0
257.63,317.63,81,0.74325,0.05113157,522.9135802,0.63,2,0
258.63,318.63,80,0.746075949,0.052323669,524.9308642,0.63175,2,0
259.63,319.63,80,0.747341772,0.052884131,526.125,0.633670886,2,0
260.63,320.63,81,0.748,0.052497619,526.2905864,0.63425,2,0
261.63,321.63,80,0.749113924,0.053797319,523.3492284,0.6325,2,0
262.63,322.63,80,0.751898734,0.058722172,528.375,0.638481013,2,0
263.63,323.63,79,0.755128205,0.060695617,529.3322785,0.640506329,2,0
264.63,324.63,79,0.757692308,0.060847078,530.3164557,0.643333333,2,0
265.63,325.63,79,0.758717949,0.061547542,531.6075949,0.644358974,2,0
266.63,326.63,79,0.760512821,0.061433671,529.5982595,0.642278481,2,0
267.63,327.63,79,0.762051282,0.061900644,534.4303797,0.647692308,2,0
268.63,328.63,78,0.764675325,0.06397208,536.2648491,0.65025641,2,0
269.63,329.63,78,0.767272727,0.068445378,534.5654008,0.650512821,2,0
270.63,330.63,78,0.76961039,0.071176414,538.974359,0.655844156,2,0
271.63,331.63,77,0.771578947,0.071764465,539.2392607,0.657402597,2,0
272.63,332.63,78,0.772727273,0.071416764,538.8198468,0.658441558,2,0
273.63,333.63,78,0.774285714,0.072853323,540.1666667,0.66025974,2,0
274.63,334.63,77,0.776842105,0.075676085,540.5795871,0.662597403,2,0
