Start Time (s),End Time (s),Kurtosis D1,Kurtosis D2,Kurtosis D3,Kurtosis A4,Label bin,Label
941.0796783,1001.079678,3.55217731,0.079984616,-0.575823965,0.913602245,0,1
942.0796783,1002.079678,3.38389076,-0.068249956,-0.494538312,4.094667454,0,1
943.0796783,1003.079678,3.435054409,-0.043530262,-0.543129419,2.161629711,0,1
944.0796783,1004.079678,3.597979713,0.15923813,-0.528138335,0.578628306,0,1
945.0796783,1005.079678,3.601757278,0.075972673,-0.388703328,2.522403855,0,1
946.0796783,1006.079678,3.544370731,0.140588699,-0.651576815,0.166537599,0,1
947.0796783,1007.079678,3.431118579,-0.099976751,-0.566996099,0.33392209,0,1
948.0796783,1008.079678,3.579969624,0.145155599,-0.556863494,5.571416859,0,1
949.0796783,1009.079678,3.258659288,0.259001686,-0.656390332,0.20874005,0,1
950.0796783,1010.079678,3.832652114,0.175902542,-0.608425294,1.142757929,0,1
951.0796783,1011.079678,3.412462174,-0.073431939,-0.567523208,1.567168467,0,1
952.0796783,1012.079678,3.643725508,0.218316926,-0.412577479,1.921833417,0,1
953.0796783,1013.079678,3.417364461,0.201507826,-0.572402251,2.817550673,0,1
954.0796783,1014.079678,3.693037081,0.183018337,-0.476476741,3.540016865,0,1
955.0796783,1015.079678,3.339423556,-0.101712583,-0.632892267,1.437242244,0,1
956.0796783,1016.079678,3.657392324,0.08859439,-0.237071521,1.688981361,0,1
957.0796783,1017.079678,3.448193131,0.226727026,-0.461840196,3.66914351,0,1
958.0796783,1018.079678,3.591502823,0.091366009,-0.658645222,0.981721531,0,1
959.0796783,1019.079678,3.559583032,0.212475177,-0.558341209,1.771485027,0,1
960.0796783,1020.079678,3.823412102,0.129899754,-0.476042223,2.617290441,0,1
961.0796783,1021.079678,3.436129976,0.125451202,-0.362524295,2.408615471,0,1
962.0796783,1022.079678,3.875466376,0.212294062,-0.440430478,3.814270415,0,1
963.0796783,1023.079678,3.512568654,0.003674608,-0.482523113,2.015562642,0,1
964.0796783,1024.079678,3.658302241,0.175607789,-0.360925642,2.364000912,0,1
965.0796783,1025.079678,3.554499613,0.318517548,-0.45061364,0.178805725,0,1
966.0796783,1026.079678,3.688736577,0.274896967,-0.618365025,3.180393166,0,1
967.0796783,1027.079678,3.414903857,0.002453571,-0.417749797,1.089672496,0,1
968.0796783,1028.079678,3.83140442,0.261378147,-0.360576577,4.899312769,0,1
969.0796783,1029.079678,3.460007665,0.113724401,-0.827733173,2.080066452,0,1
970.0796783,1030.079678,3.741438313,0.200082134,-0.372326283,1.907376828,0,1
971.0796783,1031.079678,3.450540225,-0.041515574,-0.434075602,-0.080854415,0,1
972.0796783,1032.079678,3.687010933,0.292361455,-0.644176499,3.023609306,0,1
973.0796783,1033.079678,3.54301081,0.187289645,-0.376021294,3.794320124,0,1
974.0796783,1034.079678,3.787002189,0.164315119,-0.808848411,1.628498216,0,1
975.0796783,1035.079678,3.454165434,0.009778316,-0.448022101,3.257168645,0,1
976.0796783,1036.079678,4.009697827,0.378481054,-0.560803546,2.274834962,0,1
977.0796783,1037.079678,3.250395486,0.055870555,-0.627324965,0.510113125,0,1
978.0796783,1038.079678,4.048419635,0.164376178,-0.338576973,3.684527342,0,1
979.0796783,1039.079678,3.31737364,0.076705698,-0.502830157,0.186382548,0,1
980.0796783,1040.079678,4.213321726,0.38943749,-0.594150274,2.856114516,0,1
981.0796783,1041.079678,3.238289254,0.17229393,-0.432512493,7.975421995,0,1
982.0796783,1042.079678,4.184569008,0.200818656,-0.696655375,2.184677028,0,1
983.0796783,1043.079678,3.228333544,-0.015262593,-0.434786791,5.264591192,0,1
984.0796783,1044.079678,3.935389446,0.481637554,-0.475335144,3.017518049,0,1
