Time (real),IR Value raw,IR Value filtered,Time (s),Label_Detail
4/18/2025 13:45,127284,149,10.86943913,1
4/18/2025 13:45,127394,242,10.90939593,1
4/18/2025 13:45,127512,338,10.94989586,1
4/18/2025 13:45,127566,367,10.9894948,1
4/18/2025 13:45,127599,375,11.02943659,1
4/18/2025 13:45,127644,394,11.0701344,1
4/18/2025 13:45,127688,411,11.1102016,1
4/18/2025 13:45,127462,173,11.1497612,1
4/18/2025 13:45,126318,-910,11.18941498,1
4/18/2025 13:45,125742,-1393,11.22996211,1
4/18/2025 13:45,126043,-1024,11.26980066,1
4/18/2025 13:45,126662,-379,11.30980968,1
4/18/2025 13:45,127066,23,11.34954453,1
4/18/2025 13:45,127247,191,11.39006114,1
4/18/2025 13:45,127298,227,11.43008876,1
4/18/2025 13:45,127311,225,11.46958756,1
4/18/2025 13:45,127368,265,11.50943804,1
4/18/2025 13:45,127497,369,11.55010915,1
4/18/2025 13:45,127606,448,11.5896697,1
4/18/2025 13:45,127683,492,11.62939262,1
4/18/2025 13:45,127707,484,11.66970897,1
4/18/2025 13:45,127733,478,11.71018195,1
4/18/2025 13:45,127744,459,11.75016856,1
4/18/2025 13:45,127132,-144,11.78980923,1
4/18/2025 13:45,125928,-1263,11.8297658,1
4/18/2025 13:45,125855,-1253,11.86954236,1
4/18/2025 13:45,126407,-657,11.91013932,1
4/18/2025 13:45,126852,-199,11.94955087,1
4/18/2025 13:45,127082,29,11.9901197,1
4/18/2025 13:45,127172,112,12.02958488,1
4/18/2025 13:45,127133,68,12.06973553,1
4/18/2025 13:45,127097,30,12.10957456,1
4/18/2025 13:45,127184,110,12.14964652,1
4/18/2025 13:45,127291,204,12.19037533,1
4/18/2025 13:45,127430,321,12.23016191,1
4/18/2025 13:45,127548,412,12.26954818,1
4/18/2025 13:45,127598,433,12.31038022,1
4/18/2025 13:45,127643,448,12.34949422,1
4/18/2025 13:45,127684,459,12.39020109,1
4/18/2025 13:45,127020,-193,12.4299469,1
4/18/2025 13:45,125720,-1399,12.46970177,1
4/18/2025 13:45,125491,-1526,12.50961256,1
4/18/2025 13:45,125916,-1033,12.55000138,1
4/18/2025 13:45,126432,-484,12.58943677,1
4/18/2025 13:45,126801,-108,12.63136935,1
4/18/2025 13:45,126979,66,12.66979074,1
4/18/2025 13:45,126970,53,12.70958281,1
4/18/2025 13:45,126961,41,12.75183296,1
4/18/2025 13:45,127054,126,12.79110098,1
4/18/2025 13:45,127226,279,12.83551121,1
4/18/2025 13:45,127395,420,12.87024999,1
4/18/2025 13:45,127511,503,12.91549158,1
4/18/2025 13:45,127574,531,12.95032573,1
4/18/2025 13:45,127632,552,12.99983072,1
4/18/2025 13:45,127685,567,13.03029418,1
4/18/2025 13:45,127629,479,13.07961369,1
4/18/2025 13:45,126585,-530,13.1103704,1
4/18/2025 13:45,125437,-1573,13.15976405,1
4/18/2025 13:45,125413,-1497,13.20032167,1
4/18/2025 13:45,125911,-936,13.23941565,1
4/18/2025 13:45,126382,-436,13.28014302,1
4/18/2025 13:45,126731,-82,13.32019496,1
4/18/2025 13:45,126912,93,13.35951734,1
4/18/2025 13:45,126858,37,13.39962053,1
4/18/2025 13:45,126836,14,13.43944502,1
4/18/2025 13:45,127004,170,13.48039222,1
4/18/2025 13:45,127197,341,13.52021766,1
4/18/2025 13:45,127364,476,13.55963564,1
4/18/2025 13:45,127493,567,13.59950709,1
4/18/2025 13:45,127547,582,13.63967395,1
4/18/2025 13:45,127609,604,13.68034863,1
4/18/2025 13:45,127688,641,13.71997857,1
4/18/2025 13:45,127699,611,13.75976968,1
4/18/2025 13:45,126935,-144,13.79973817,1
4/18/2025 13:45,125845,-1156,13.8397975,1
4/18/2025 13:45,125950,-986,13.8803184,1
4/18/2025 13:45,126548,-363,13.92030454,1
4/18/2025 13:45,127015,97,13.9601531,1
4/18/2025 13:45,127272,332,14.00023746,1
4/18/2025 13:45,127360,394,14.03994107,1
4/18/2025 13:45,127332,343,14.07951999,1
4/18/2025 13:45,127287,279,14.11945772,1
4/18/2025 13:45,127381,350,14.15997529,1
4/18/2025 13:45,127507,446,14.19962096,1
4/18/2025 13:45,127614,519,14.24038649,1
4/18/2025 13:45,127653,523,14.27971888,1
4/18/2025 13:45,127698,533,14.31985188,1
4/18/2025 13:45,127791,586,14.35974813,1
4/18/2025 13:45,127844,600,14.39946795,1
4/18/2025 13:45,127773,496,14.4400034,1
4/18/2025 13:45,126924,-331,14.4797225,1
4/18/2025 13:45,126124,-1061,14.5199573,1
4/18/2025 13:45,126354,-779,14.55944586,1
4/18/2025 13:45,126925,-195,14.59949017,1
4/18/2025 13:45,127296,165,14.64002085,1
4/18/2025 13:45,127510,356,14.68004513,1
4/18/2025 13:45,127590,408,14.72001433,1
4/18/2025 13:45,127578,372,14.7598896,1
4/18/2025 13:45,127621,389,14.80022621,1
4/18/2025 13:45,127736,472,14.84025764,1
4/18/2025 13:45,127838,539,14.88088536,1
4/18/2025 13:45,127888,552,14.91983032,1
4/18/2025 13:45,127927,554,14.96034837,1
4/18/2025 13:45,127957,547,15.0000639,1
4/18/2025 13:45,127975,530,15.03966951,1
4/18/2025 13:45,127866,395,15.0798409,1
4/18/2025 13:45,127047,-398,15.11963344,1
4/18/2025 13:45,126094,-1266,15.16000819,1
4/18/2025 13:45,126165,-1120,15.20960927,1
4/18/2025 13:45,126573,-668,15.24954271,1
4/18/2025 13:45,127019,-208,15.28983665,1
4/18/2025 13:45,127332,98,15.33000255,1
4/18/2025 13:45,127433,187,15.36972976,1
4/18/2025 13:45,127445,187,15.41013646,1
4/18/2025 13:45,127453,182,15.45032263,1
4/18/2025 13:45,127548,260,15.48032522,1
4/18/2025 13:45,127673,361,15.52032852,1
4/18/2025 13:45,127779,438,15.56961823,1
4/18/2025 13:45,127825,454,15.60982871,1
4/18/2025 13:45,127878,475,15.64996624,1
4/18/2025 13:45,127950,513,15.69025278,1
4/18/2025 13:45,127908,442,15.72950077,1
4/18/2025 13:45,127124,-321,15.7701776,1
4/18/2025 13:45,125870,-1477,15.80994511,1
4/18/2025 13:45,125719,-1526,15.85047388,1
4/18/2025 13:45,126176,-1002,15.88953114,1
4/18/2025 13:45,126720,-429,15.93010807,1
4/18/2025 13:45,127118,-29,15.97030234,1
4/18/2025 13:45,127327,168,16.01021647,1
4/18/2025 13:45,127333,164,16.04974437,1
4/18/2025 13:45,127296,119,16.09028888,1
4/18/2025 13:45,127388,198,16.13020968,1
4/18/2025 13:45,127571,357,16.17004418,1
4/18/2025 13:45,127684,440,16.21013594,1
4/18/2025 13:45,127752,477,16.24960637,1
4/18/2025 13:45,127863,551,16.29021049,1
4/18/2025 13:45,127937,586,16.32960939,1
4/18/2025 13:45,127873,489,16.36994815,1
4/18/2025 13:45,127020,-341,16.4095428,1
4/18/2025 13:45,125967,-1307,16.45039296,1
4/18/2025 13:45,125999,-1195,16.49002767,1
4/18/2025 13:45,126535,-618,16.5298543,1
4/18/2025 13:45,126972,-169,16.56956768,1
4/18/2025 13:45,127287,136,16.60967302,1
4/18/2025 13:45,127435,267,16.65007043,1
4/18/2025 13:45,127390,208,16.69003987,1
4/18/2025 13:45,127381,187,16.72999763,1
4/18/2025 13:45,127513,299,16.76973295,1
4/18/2025 13:45,127645,404,16.80951452,1
4/18/2025 13:45,127748,475,16.85002089,1
4/18/2025 13:45,127851,542,16.89010549,1
4/18/2025 13:45,127923,576,16.9300313,1
4/18/2025 13:45,127984,597,16.96941066,1
4/18/2025 13:45,127801,388,17.01025367,1
4/18/2025 13:45,126649,-716,17.04966235,1
4/18/2025 13:45,125940,-1336,17.09024143,1
4/18/2025 13:45,126299,-916,17.12941146,1
4/18/2025 13:45,126892,-303,17.16995263,1
4/18/2025 13:45,127270,71,17.21021557,1
4/18/2025 13:45,127520,301,17.25030303,1
4/18/2025 13:45,127566,325,17.29009843,1
4/18/2025 13:45,127509,251,17.32953763,1
4/18/2025 13:45,127536,261,17.36945391,1
4/18/2025 13:45,127640,342,17.41004515,1
4/18/2025 13:45,127758,431,17.44993758,1
4/18/2025 13:45,127850,491,17.49021006,1
4/18/2025 13:45,127899,506,17.53037357,1
4/18/2025 13:45,127965,536,17.56996346,1
4/18/2025 13:45,127968,506,17.61976433,1
4/18/2025 13:45,127164,-280,17.66014981,1
4/18/2025 13:45,126254,-1115,17.69990373,1
4/18/2025 13:45,126441,-870,17.7395823,1
4/18/2025 13:45,126970,-320,17.77944899,1
4/18/2025 13:45,127368,73,17.81980777,1
4/18/2025 13:45,127579,267,17.8602891,1
4/18/2025 13:45,127640,307,17.89956021,1
4/18/2025 13:45,127614,264,17.93947697,1
