Time (real),IR Value raw,IR Value filtered,Time (s)
2025-06-19 22:58:02,101103,-160,5.635949611663818
2025-06-19 22:58:02,101160,-96,5.65548038482666
2025-06-19 22:58:02,101204,-49,5.675956964492798
2025-06-19 22:58:02,101248,-5,5.695965528488159
2025-06-19 22:58:02,101278,24,5.715001344680786
2025-06-19 22:58:02,101306,49,5.735222101211548
2025-06-19 22:58:02,101337,75,5.755725383758545
2025-06-19 22:58:02,101369,100,5.775379657745361
2025-06-19 22:58:02,101393,116,5.795593023300171
2025-06-19 22:58:02,101419,133,5.817147493362427
2025-06-19 22:58:02,101425,131,5.837310075759888
2025-06-19 22:58:02,101439,136,5.857300758361816
2025-06-19 22:58:02,101447,135,5.877996444702148
2025-06-19 22:58:02,101466,144,5.898012399673462
2025-06-19 22:58:02,101491,159,5.917376279830933
2025-06-19 22:58:02,101509,166,5.937869310379028
2025-06-19 22:58:02,101511,157,5.957387685775757
2025-06-19 22:58:02,101435,76,5.9778923988342285
2025-06-19 22:58:02,101223,-127,5.9973390102386475
2025-06-19 22:58:02,100965,-361,6.017331600189209
2025-06-19 22:58:02,100764,-527,6.037895441055298
2025-06-19 22:58:02,100680,-573,6.05791974067688
2025-06-19 22:58:02,100678,-539,6.0775063037872314
2025-06-19 22:58:02,100727,-459,6.09752345085144
2025-06-19 22:58:02,100772,-388,6.118067264556885
2025-06-19 22:58:02,100806,-332,6.137324094772339
2025-06-19 22:58:03,100842,-278,6.157835245132446
2025-06-19 22:58:03,100891,-214,6.177647352218628
2025-06-19 22:58:03,100945,-150,6.19799542427063
2025-06-19 22:58:03,100973,-115,6.218011856079102
2025-06-19 22:58:03,100969,-111,6.237720966339111
2025-06-19 22:58:03,100971,-102,6.257624626159668
2025-06-19 22:58:03,100965,-101,6.278055906295776
2025-06-19 22:58:03,100960,-100,6.298069953918457
2025-06-19 22:58:03,100984,-71,6.317405939102173
2025-06-19 22:58:03,101011,-41,6.337996482849121
2025-06-19 22:58:03,101045,-7,6.3570396900177
2025-06-19 22:58:03,101074,21,6.377504587173462
2025-06-19 22:58:03,101101,45,6.397526502609253
2025-06-19 22:58:03,101133,72,6.417747259140015
2025-06-19 22:58:03,101155,88,6.437208414077759
2025-06-19 22:58:03,101178,104,6.457275390625
